Banco Central do Brasil|bcb.gov|Portais Financeiros|0
B3|b3.com|Portais Financeiros|0
Valor Econômico|globo.com|Portais Financeiros|0
InfoMoney|infomoney.com|Portais Financeiros|0
Broadcast Estadão|broadcast.com|Portais Financeiros|0
UOL Economia|uol.com|Portais Financeiros|0
CNN Brasil Business|cnnbrasil.com|Portais Financeiros|0
br/economia E-Investidor|estadao.com|Portais Financeiros|0
Asan Institute for Policy Studies|en.asaninst.org|Geopolítica|0
Geopolitical Intelligence Services|gisreportsonline.com|Geopolítica|0
IAS School of Natural Sciences|sns.ias.edu|Física Teórica|0
Stanford Institute for Theoretical Physics|sitp.stanford.edu|Física Teórica|0
Kavli Institute for Theoretical Physics|kitp.ucsb.edu|Física Teórica|0
Brookhaven National Laboratory|bnl.gov|Física Teórica|0
Lawrence Berkeley National Laboratory|lbl.gov|Física Teórica|0
Isaac Newton Institute|newton.ac.uk|Física Teórica|0
Max Planck Institute for Gravitational Physics|aei.mpg.de|Física Teórica|0
Loop Quantum Gravity Network|loopquantumgravity.org|Física Teórica|0
stringtheory.wiki Institut des Hautes Études Scientifiques|ihes.fr|Física Teórica|0
Teórica ift.unesp.br Sociedade Brasileira de Física|sbfisica.org|Física Teórica|0
SingularityNET|singularitynet.io|AGI e Neurotecnologia|0
IBM Quantum Computing|ibm.com|AGI e Neurotecnologia|0
D-Wave Systems|dwavesys.com|AGI e Neurotecnologia|0
Rigetti Computing|rigetti.com|AGI e Neurotecnologia|0
IonQ|ionq.com|AGI e Neurotecnologia|0
Xanadu Quantum Technologies xanadu.ai Quantum Zeitgeist|quantumzeitgeist.com|AGI e Neurotecnologia|0
Human-Compatible AI humancompatible.ai Partnership on AI|partnershiponai.org|AGI e Neurotecnologia|0
IEEE Computational Intelligence Society|cis.ieee.org|AGI e Neurotecnologia|0
Association for the Advancement of AI|aaai.org|AGI e Neurotecnologia|0
Kernel Co|kernel.com|AGI e Neurotecnologia|0
NeuroTechX|neurotechx.com|AGI e Neurotecnologia|0
Biohack.me biohack.me Foresight Institute|foresight.org|AGI e Neurotecnologia|0
Nanowerk|nanowerk.com|AGI e Neurotecnologia|0
Scientific Coalition for UAP Studies|exploringuaps.org|Ufologia|0
Center for UFO Studies|cufos.org|Ufologia|0
Project Galileo Harvard|projects.iq.harvard.edu|Ufologia|0
